filename,width,height,class,xmin,ymin,xmax,ymax
Cross (1).png,120,120,Crosswalk,1,66,119,82
Cross (10).png,120,120,Crosswalk,0,69,50,119
Cross (10).png,120,120,Crosswalk,87,36,119,67
Cross (10).png,120,120,Crosswalk,71,43,108,72
Cross (10).png,120,120,Crosswalk,56,48,95,83
Cross (10).png,120,120,Crosswalk,44,51,85,90
Cross (10).png,120,120,Crosswalk,22,57,72,101
Cross (10).png,120,120,Crosswalk,6,65,65,109
Cross (100).png,120,120,Crosswalk,0,98,14,114
Cross (100).png,120,120,Crosswalk,10,101,24,116
Cross (100).png,120,120,Crosswalk,20,106,47,119
Cross (1000).png,120,120,Crosswalk,6,71,98,90
Cross (1000).png,120,120,Crosswalk,65,58,120,78
Cross (1000).png,120,120,Crosswalk,106,50,120,62
Cross (1000).png,120,120,Crosswalk,53,92,120,115
Cross (1001).png,120,120,Crosswalk,90,44,120,120
Cross (1001).png,120,120,Crosswalk,61,67,95,120
Cross (1001).png,120,120,Crosswalk,23,91,64,120
Cross (1002).png,120,120,Crosswalk,1,42,120,57
Cross (1003).png,120,120,Crosswalk,10,72,110,76
Cross (1004).png,120,120,Crosswalk,1,69,120,73
Cross (1004).png,120,120,Crosswalk,1,113,120,120
Cross (1005).png,120,120,Crosswalk,1,51,19,104
Cross (1005).png,120,120,Crosswalk,10,72,40,115
Cross (1005).png,120,120,Crosswalk,34,86,65,120
Cross (1005).png,120,120,Crosswalk,58,102,90,120
Cross (1006).png,120,120,Crosswalk,6,2,38,20
Cross (1006).png,120,120,Crosswalk,26,7,49,33
Cross (1006).png,120,120,Crosswalk,43,21,65,44
Cross (1006).png,120,120,Crosswalk,60,33,84,57
Cross (1006).png,120,120,Crosswalk,77,46,103,68
Cross (1006).png,120,120,Crosswalk,96,58,120,84
Cross (1007).png,120,120,Crosswalk,6,93,110,102
Cross (1008).png,120,120,Crosswalk,1,83,117,94
Cross (1008).png,120,120,Crosswalk,84,48,98,55
Cross (1008).png,120,120,Crosswalk,95,52,110,60
Cross (1008).png,120,120,Crosswalk,107,57,120,67
Cross (1008).png,120,120,Crosswalk,14,46,55,49
Cross (1009).png,120,120,Crosswalk,1,102,120,112
Cross (1009).png,120,120,Crosswalk,3,87,38,90
Cross (1009).png,120,120,Crosswalk,58,86,78,90
Cross (101).png,120,120,Crosswalk,13,95,114,105
Cross (1010).png,120,120,Crosswalk,6,64,24,70
Cross (1010).png,120,120,Crosswalk,21,67,37,74
Cross (1010).png,120,120,Crosswalk,34,70,51,79
